Chinese,Pinyin,English
假,jiǎ,FALSE
假期,jià qī,holiday; vacation
检查,jiǎnchá,inspect; check
见到,jiàn dào,see
见过,jiàn guò,seen; have seen
件,jiàn,piece
健康,jiànkāng,Healthy
讲,jiǎng,speak
讲话,jiǎng huà,speak; talk
交,jiāo,hand over
交给,jiāo gěi,hand over
交朋友,jiāo péng yǒu,make friends
交通,jiāotōng,traffic
角,jiǎo,horn
角度,jiǎodù,angle
饺子,jiǎozi,Dumplings
脚,jiǎo,foot
叫作,jiào zuò,be called; be known as
教师,jiào shī,teacher
教室,jiàoshì,Classroom
教学,jiào xué,teach
教育,jiàoyù,education
接,jiē,meet， pick
接到,jiē dào,receive
接受,jiēshòu,accept
接下来,jiē xià lái,next
接着,jiēzhe,Next
街,jiē,street
节（名、量）,jié,festival; holiday; joint; (measure word)
节目,jiémù,program
节日,jiérì,festival
结果,jiéguǒ,Result
借,jiè,borrow
斤,jīn,a unit of weight (=1/2 kilogram)
今后,jīn hòu,from now on; in the future
进入,jìn rù,enter; go in; join
进行,jìnxíng,Conduct
近,jìn,near
经常,jīngcháng,Often
经过,jīngguò,"after, through"
经理,jīnglǐ,manager
酒,jiǔ,alcohol; liqueur
酒店,jiǔ diàn,hotel
就要,jiù yào,be going to; be about to
举,jǔ,lift
举手,jǔ shǒu,raise one’s hand or hands
举行,jǔxíng,hold
句,jù,sentence
句子,jùzi,sentence
卡,kǎ,card
开机,kāi jī,starting up
开心,kāixīn,Happy
开学,kāi xué,school opens; term begins
看法,kànfǎ,view
考生,kǎo shēng,examinee
靠,kào,lean
科,kē,subject; family; section
科学,kēxué,science
可爱,kě’ài,Lovely
可能,kěnéng,Probably
可怕,kěpà,dreadful
可是,kěshì,however
可以,kěyǐ,Sure
克,kè,gram
刻（量）,kè,a quarter (of an hour)
客人,kèrén,Guest
课堂,kè táng,classroom
空气,kōngqì,atmosphere
哭,kū,cry
快餐,kuài cān,fast food
快点儿,kuài diǎnr,hurry up
快乐,kuàilè,happy
快要,kuài yào,be about to; be going to
筷子,kuàizi,chopsticks
拉,lā,pull
来自,láizì,Come from
蓝,lán,blue
蓝色,lán sè,blue
篮球,lán qiú,basketball
老（副）,lǎo,always; constantly
老（老王）,lǎo （ lǎo wáng ）,noun prefix (Lao Wang)
老年,lǎo nián,elderly
老朋友,lǎo péng yǒu,old friend
老是,lǎo shì,always; all times
离,lí,leave
离开,líkāi,leave
礼物,lǐwù,gift
里头,lǐ tou,inside
理想,lǐxiǎng,ideal
例如,lìrú,for example
例子,lì zi,example
脸,liǎn,face
练,liàn,practice; train
练习,liànxí,Practice
凉,liáng,cool
凉快,liángkuai,Pleasantly cool
两（量）,liǎng,a unit of weight (=50 grams)
亮,liàng,bright
辆,liàng,Car (measure word)
零下,líng xià,below zero
留,liú,stay
留下,liú xià,stay; remain
留学生,liú xué shēng,student studying abroad; returned student
流,liú,flow; spread
流利,liúlì,fluent
流行,liúxíng,Popular
路边,lù biān,roadside; wayside
旅客,lǚ kè,passenger; traveler
旅行,lǚxíng,travel
旅游,lǚyóu,Tourism
绿,lǜ,green
绿色,lǜ sè,green
卖,mài,sell
满,mǎn,full
满意,mǎnyì,Satisfied
猫,māo,cat
米（量）,mǐ,meter
面¹（名、量）,miàn ¹,(measure word); side; aspect
面²（名）,miàn ²,face; surface; outside; side; scale; flour
面前,miàn qián,in front of; before
名,míng,name
名称,míng chēng,name; designation
名单,míng dān,list
明星,míngxīng,Star
目的,mùdì,objective
拿出,ná chū,take out
拿到,ná dào,get
那（连）,nà,then; in that case
那会儿,nà huìr,at that time; then
那么,nà me,like that; in that way
那时候｜那时,nà shí hou ｜ nà shí,at that time
那样,nà yàng,that kind; like that; such
南方,nán fāng,south
难过,nánguò,Sorry
难看,nán kàn,ugly
难受,nánshòu,Uncomfortable
难题,nán tí,problem; difficult problem; puzzle
难听,nán tīng,unpleasant to hear
能够,néng gòu,be able to; can
年级,niánjí,grade
年轻,niánqīng,Young
鸟,niǎo,bird
弄,nòng,"get, make"
努力,nǔlì,Strive
爬,pá,climb; creep; scramble
爬山,páshān,Mountain climbing
怕（动）,pà,be afraid; fear; dread
排（名、量）,pái,row; line
排队,páiduì,queue; stand in a line
排球,pái qiú,volleyball
碰,pèng,"touch, meet"
碰到,pèng dào,meet; run into; bump into
碰见,pèng jiàn,meet; run into; bump into
篇,piān,piece
便宜,piányi,Cheap
片,piàn,slice
漂亮,piàoliang,Well done!； beautiful
平,píng,flat
平安,píng’ān,sound and safe
平常,píngcháng,Usual
平等,píngděng,equality
平时,píngshí,peacetime
瓶,píng,bottle
瓶子,píngzi,Bottle
普通,pǔ tōng,ordinary; general; average; common
普通话,pǔtōnghuà,Mandarin
其他,qítā,Other
其中,qízhōng,among
骑,qí,ride
骑车,qí chē,cycle
起飞,qǐfēi,take off
气,qì,air; gas; breath
气温,qì wēn,air temperature
千,qiān,thousand
千克,qiān kè,kilogram
前年,qián nián,the year before last
墙,qiáng,wall
青年,qīng nián,youth; young
青少年,qīngshàonián,Teenagers
轻,qīng,light
清楚,qīngchu,clear
晴,qíng,Sunny
晴天,qíng tiān,sunny day
请客,qǐng kè,stand treat; entertain
请求,qǐngqiú,request
秋天,qiū tiān,fall; autumn
求,qiú,request; beg; entreat; beseech
球场,qiú chǎng,court; field
球队,qiú duì,team
球鞋,qiú xié,sneakers; gym shoes
取,qǔ,take
取得,qǔ dé,acquire; gain; obtain
全,quán,whole; entire; complete
全部,quánbù,whole
全国,quán guó,nationwide; entire country
全家,quán jiā,whole family
全年,quán nián,annual; yearly
全身,quán shēn,whole body
全体,quán tǐ,all; entire; whole
然后,ránhòu,Then
让,ràng,Give Way
热情,rèqíng,Enthusiasm
人口,rénkǒu,population
人们,rén men,people
人数,rén shù,number of people
认为,rènwéi,think
日报,rì bào,"daily, journal"
日子,rìzi,"life, days"
如果,rúguǒ,If
入口,rùkǒu,Entrance
商量,shāngliang,discuss
商人,shāng rén,businessman
上周,shàng zhōu,last week
少数,shǎo shù,small number; few; minority
少年,shào nián,juvenile; young person
身边,shēn biān,at [by] one’s side
什么样,shén me yàng,what kind
生（动）,shēng,give birth; be born
生词,shēng cí,new word
生活,shēnghuó,Life
声音,shēngyīn,voice
省（名）,shěng,province
省（动）,shěng,economize; save; omit; leave out
十分,shífēn,very
实际,shíjì,Actual
实习,shíxí,Internship
实现,shíxiàn,Realization
实在,shízài,real; indeeed
实在,shízai,done carefully
食物,shíwù,food
使用,shǐyòng,Use
市,shì,city
市长,shì zhǎng,mayor
事情,shìqing,Thing
收,shōu,collect
收到,shōu dào,receive; obtain
收入,shōurù,income
手表,shǒubiǎo,Wrist Watch
受到,shòudào,Suffer
舒服,shūfu,comfortable
熟,shú,ripe; cooked; familiar; skilled
数,shǔ,to count
数字,shùzì,number
水平,shuǐpíng,level
顺利,shùnlì,smoothly
说明,shuōmíng,Explain
司机,sījī,Driver
送到,sòng dào,sent to (place)
送给,sòng gěi,give to (somebody or organization)
算,suàn,count; calculate
虽然,suī rán,although; though
随便,suíbiàn,casual
随时,suíshí,at any time
所以,suǒ yǐ,so
所有,suǒyǒu,All
它,tā,it
它们,tā men,they
太太,tàitai,Ma’am
太阳,tàiyáng,sun
态度,tàidu,attitude
讨论,tǎolùn,discuss
套,tào,set
特别,tèbié,Especially
特点,tèdiǎn,Characteristic
疼,téng,hurt
提,tí,carry
提出,tí chū,put forward; propose; raise
提到,tí dào,mention; refer to
提高,tígāo,"increase, promote"
题,tí,topic
体育,tǐyù,Sports
体育场,tǐ yù chǎng,stadium
体育馆,tǐ yù guǎn,stadium; gymnasium; gym
天上,tiān shàng,the sky; heaven
条,tiáo,strip
条件,tiáojiàn,condition
听讲,tīng jiǎng,attend a lecture; listen to a talk
听说,tīng shuō,be told; hear of
停,tíng,Stop
停车,tíng chē,park
停车场,tíng chē chǎng,parking lot
挺（副）,tǐng,very; quite; pretty; rather
挺好,tǐng hǎo,very good; not half bad
通,tōng,through; common; all; understand; expert
通过,tōngguò,adopt
通知,tōngzhī,notice
同时,tóngshí,meanwhile
同事,tóngshì,Colleague
同样,tóng yàng,same
头（名、量）,tóu,head; beginning or end; side; (measure word)
头（里头）,tóu,suffix (inside)
头发,tóufa,Hair
图片,tú piàn,picture; photograph
推,tuī,push
腿,tuǐ,leg
外地,wài dì,other places; nonlocal
外卖,wài mài,takeaway; take out
完,wán,finish
完成,wánchéng,complete
完全,wánquán,completely
晚安,wǎn ān,good night
晚报,wǎn bào,evening paper; evening news
晚餐,wǎn cān,dinner; supper
晚会,wǎn huì,evening party
碗,wǎn,bowl
万,wàn,ten thousand
网,wǎng,net; network
网球,wǎngqiú,Tennis
网站,wǎngzhàn,website
往,wǎng,to
为,wèi,by
为什么,wèishénme,Why
位,wèi,person (measure word)
味道,wèidào,taste
喂（叹）,wèi,hello; hey
温度,wēndù,temperature
闻,wén,smell
问路,wèn lù,ask for directions
问题,wèntí,problem
午餐,wǔ cān,lunch
午睡,wǔ shuì,nap
西北,xī běi,northwest
西餐,xī cān,western food
西方,xī fāng,west
西南,xī nán,southwest
西医,xī yī,western medicine
习惯,xíguàn,Habit
洗衣机,xǐ yī jī,washing machine
洗澡,xǐzǎo,Take a shower
下（量）,xià,(measure word)
下雪,xià xuě,snow; snowing
下周,xià zhōu,next week
夏天,xià tiān,summer
相同,xiāngtóng,identical
相信,xiāngxìn,believe
响,xiǎng,loud
想到,xiǎng dào,think of; call to mind; have at heart
想法,xiǎng fǎ,idea; opinion;thought
想起,xiǎng qǐ,remember; recall; think of; call to mind
向,xiàng,towards
相机,xiàng jī,camera
像（动）,xiàng,be like; resemble; look like; such as
小（小王）,xiǎo （ xiǎo wáng ）,prefix (Xiao Wang)
小声,xiǎo shēng,in a low voice; in whispers
小时候,xiǎo shí hou,in one’s childhood; when one was young
小说,xiǎoshuō,Novel
小心,xiǎoxīn,Look out
小组,xiǎo zǔ,group
校园,xiào yuán,campus; schoolyard
校长,xiàozhǎng,Principal
笑话,xiàohua,joke
笑话儿,xiào huàr,joke
鞋,xié,shoes
心里,xīn lǐ,in the heart; at heart
心情,xīnqíng,mood
心中,xīn zhōng,in the heart; at heart; in mind
新闻,xīnwén,news
信（名）,xìn,letter; mail; faith
信号,xìnhào,signal
信息,xìnxī,information
信心,xìnxīn,confidence
信用卡,xìnyòngkǎ,Credit card
星星,xīng xing,star
行动,xíngdòng,Get some action
行人,xíngrén,pedestrian
行为,xíngwéi,behavior
姓,xìng,surname
姓名,xìng míng,full name
休假,xiū jià,have a holiday; take a vacation; be on furlough
许多,xǔduō,many
选,xuǎn,choose; select; pick
学期,xuéqī,Semester
雪,xuě,Snow
颜色,yánsè,colour
眼,yǎn,eye
眼睛,yǎnjing,Eye
养,yǎng,raise; keep; support; cultivate
样子,yàngzi,A look
要求,yāoqiú,Requirement
药,yào,drug
药店,yào diàn,pharmacy
药片,yào piàn,pill
药水,yào shuǐ,liquid medicine; potion
也许,yěxǔ,perhaps
夜,yè,night
夜里,yè lǐ,at night
一部分,yí bù fèn,a part; a portion
一定,yídìng,Certain
一共,yígòng,Altogether/In total
一会儿（副）,yí huìr,awhile; in a moment; presently
一路平安,yí lù píng ān,safe journey; have a pleasant journey
一路顺风,yí lù shùn fēng,Bon voyage
已经,yǐjīng,Already
以后,yǐ hòu,after; later on; afterwards; later
以前,yǐqián,before/ in the past
以上,yǐ shàng,above; over
以外,yǐ wài,beyond; outside; other than; except
以为,yǐwéi,Think
以下,yǐ xià,below; under
椅子,yǐzi,Chair
一般,yìbān,commonly/ Just so so
一点点/一点,yì diǎn diǎn,a little bit
一生,yì shēng,lifetime; all one’s life
一直,yìzhí,always
亿,yì,100 million
意见,yìjiàn,Opinion
意思,yìsi,Meaning
因为,yīn wèi,because
阴,yīn,Yin
阴天,yīn tiān,cloudy day; overcast sky
音节,yīn jié,syllable
音乐,yīnyuè,Music
音乐会,yīn yuè huì,concert
银行,yínháng,Bank
银行卡,yín háng kǎ,bank card
应该,yīnggāi,Should
英文,yīng wén,English
英语,yīng yǔ,English
影片,yǐng piàn,film; movie
影响,yǐngxiǎng,Influence
永远,yǒngyuǎn,forever
油,yóu,oil; fat; grease
游客,yóu kè,tourist; visitor
友好,yǒuhǎo,friendly
有空儿,yǒu kòngr,be free; at leisure
有人,yǒu rén,someone; there’s someone
有（一）点儿,yǒu （ yì ） diǎnr,a little bit
有意思,yǒu yì si,interesting; significant
又,yòu,also
鱼,yú,fish
语言,yǔyán,language
原来,yuánlái,Original; formerly
原因,yuányīn,Reason
院,yuàn,yard; compound; courtyard; college
院长,yuàn zhǎng,dean
院子,yuàn zi,courtyard; yard
愿意,yuànyì,Be willing
月份,yuè fèn,month
月亮,yuèliang,Moon
越,yuè,The more
越来越,yuè lái yuè,more and more
云,yún,cloud
运动,yùndòng,motion/exercise
咱,zán,we; us
咱们,zánmen,We
脏,zāng,dirty
早餐,zǎo cān,breakfast
早晨,zǎo chén,morning
早就,zǎo jiù,long since
怎么办,zěn me bàn,how to; what to do
怎么样,zěnmeyàng,How about
怎样,zěn yàng,how
占,zhàn,occupy
站（动）,zhàn,stand; stop; halt
站住,zhàn zhù,stop; halt
长,zhǎng,grow
长大,zhǎng dà,grow up
找出,zhǎo chū,find out
照顾,zhàogù,look after
照片,zhàopiàn,Photo
照相,zhào xiàng,take a picture; take a photograph
这么,zhè me,so; such; this way; like this
这时候｜这时,zhè shí hou ｜ zhè shí,at this moment; at this time
这样,zhè yàng,so; such; like this; this way
真正,zhēnzhèng,real
正常,zhèngcháng,normal
正好,zhènghǎo,Just right
正确,zhèngquè,Correct
正是,zhèng shì,exactly
直接,zhíjiē,direct
只,zhǐ,only; just; simply; merely
只能,zhǐ néng,can only
只要,zhǐyào,as long as
纸,zhǐ,paper
中餐,zhōng cān,Chinese food
中级,zhōng jí,intermediate; middle-level
中年,zhōng nián,middle age; middle-aged
中小学,zhōng xiǎo xué,elementary and middle school
中心,zhōngxīn,core
中医,zhōng yī,Chinese Medicine
重点,zhòngdiǎn,A key
重视,zhòngshì,attach importance to
周,zhōu,week
周末,zhōumò,Weekend
周年,zhōunián,anniversary
主人,zhǔrén,master
主要,zhǔyào,main
住房,zhù fáng,housing; lodging
住院,zhù yuàn,be in hospital; be hospitalized
装,zhuāng,pretend
准确,zhǔnquè,accuracy
自己,zìjǐ,"Own, self"
自行车,zìxíngchē,Bicycle
自由,zìyóu,free
字典,zì diǎn,dictionary
走过,zǒu guò,walk through; pass by
走进,zǒu jìn,walk in
走开,zǒu kāi,go away
租,zū,rent
组,zǔ,group
组成,zǔchéng,Form
组长,zǔ zhǎng,group leader
嘴,zuǐ,mouth
最近,zuìjìn,Lately
作家,zuòjiā,writer
作文,zuòwén,composition
作业,zuòyè,"task, homework"
作用,zuòyòng,Effect
座,zuò,Seat
座位,zuòwèi,seat
做到,zuò dào,accomplish; achieve
做法,zuò fǎ,practice; behavior; way of doing a thing
做饭,zuò fàn,cook
